image_name,class_name,ai_count
IMG-MO9NEYA9-YQKL.jpg,Coke Red Cap,7
IMG-MO9NEYA9-YQKL.jpg,Other  Caps,3
IMG-MO9NEYA9-YQKL.jpg,Sprite Blue Cap,6
IMG-MO9NEYA9-YQKL.jpg,Fanta Blue Cap,2
IMG-MO9NF697-ZEAC.jpg,Sprite Green Cap,3
IMG-MO9NF697-ZEAC.jpg,Coke Red Cap,4
IMG-MO9NF697-ZEAC.jpg,Other Caps,4
IMG-MO9NF697-ZEAC.jpg,Other  Caps,4
IMG-MO9NF697-ZEAC.jpg,Fanta Orange Cap,1
IMG-MO9NF697-ZEAC.jpg,Other Water Caps,1
IMG-MO9NRGS4-VPYL.jpg,Coke Glass Caps,6
IMG-MO9NRGS4-VPYL.jpg,Fanta Glass Cap,3
IMG-MO9NRGS4-VPYL.jpg,Other Glass Cap,2
IMG-MO9NRGS4-VPYL.jpg,Other Caps,9
IMG-MO9OFOND-UVZV.jpg,Coke Glass Caps,23
IMG-MO9OXKAB-YV3F.jpg,Sprite Blue Cap,6
IMG-MO9OXKAB-YV3F.jpg,Coke Red Cap,4
IMG-MO9OXKAB-YV3F.jpg,Fanta Blue Cap,2
IMG-MO9OXLID-H1F1.jpg,Coke Red Cap,6
IMG-MO9OXLID-H1F1.jpg,Fanta Blue Cap,7
IMG-MO9OXLID-H1F1.jpg,Sprite Blue Cap,4
IMG-MO9TJ4KY-UFGF.jpg,Coke Red Cap,6
IMG-MO9TJ4KY-UFGF.jpg,Fanta Blue Cap,10
IMG-MO9TJ6GE-PMBW.jpg,Fanta Glass Cap,2
IMG-MO9TJ6GE-PMBW.jpg,Fanta Blue Cap,4
IMG-MO9TJ6GE-PMBW.jpg,Coke Glass Caps,1
IMG-MO9TJ6GE-PMBW.jpg,Other Glass Cap,10
IMG-MO9TJ6GE-PMBW.jpg,Sprite Glass Cap,1
IMG-MO9TJ6GE-PMBW.jpg,Coke Red Cap,1
IMG-MO9TJ8B2-6363.jpg,Sprite Green Cap,2
IMG-MO9TJ8B2-6363.jpg,Other Glass Cap,15
IMG-MO9TJ8B2-6363.jpg,Coke Red Cap,2
IMG-MO9TJ8B2-6363.jpg,Fanta Orange Cap,1
IMG-MO9TJ8B2-6363.jpg,Sprite Blue Cap,1
IMG-MO9TJ8B2-6363.jpg,Fanta Blue Cap,2
IMG-MO9UEHWQ-BOSL.jpg,Coke Glass Caps,4
IMG-MO9UEHWQ-BOSL.jpg,Fanta Glass Cap,2
IMG-MO9UEHWQ-BOSL.jpg,Fanta Blue Cap,6
IMG-MO9UEHWQ-BOSL.jpg,Coke Red Cap,2
IMG-MO9UEHWQ-BOSL.jpg,Sprite Blue Cap,1
IMG-MO9UEMWM-BD5C.jpg,Coke Red Cap,2
IMG-MO9UEMWM-BD5C.jpg,Sprite Blue Cap,3
IMG-MO9UEMWM-BD5C.jpg,Fanta Blue Cap,2
IMG-MO9UEMWM-BD5C.jpg,Kinley Soda Cap,1
IMG-MO9UEMWM-BD5C.jpg,Other Glass Cap,1
IMG-MO9UEMWM-BD5C.jpg,Other Caps,1
IMG-MO9UEYT8-XNO7.jpg,Sprite Green Cap,3
IMG-MO9UEYT8-XNO7.jpg,Coke Red Cap,1
IMG-MO9UEYT8-XNO7.jpg,Fanta Orange Cap,3
IMG-MO9VY9NA-MR06.jpg,Coke Glass Caps,15
IMG-MO9VY9NA-MR06.jpg,Sprite Glass Cap,7
IMG-MO9VY9NA-MR06.jpg,Fanta Glass Cap,4
IMG-MO9VYGG3-P9V4.jpg,Coke Glass Caps,9
IMG-MO9VYGG3-P9V4.jpg,Sprite Glass Cap,3
IMG-MO9VYGG3-P9V4.jpg,Fanta Glass Cap,4
IMG-MO9VYND6-0VHA.jpg,Coke Glass Caps,15
IMG-MO9VYND6-0VHA.jpg,Fanta Glass Cap,4
IMG-MO9VYND6-0VHA.jpg,Sprite Glass Cap,11
IMG-MO9WR6CM-HAZX.jpg,Sprite Glass Cap,2
IMG-MO9WRPYE-KITS.jpg,Coke Red Cap,33
IMG-MO9WS54J-6OO7.jpg,Coke Glass Caps,11
IMG-MO9WS54J-6OO7.jpg,Fanta Glass Cap,5
IMG-MO9WS54J-6OO7.jpg,Sprite Glass Cap,7
IMG-MO9WS54J-6OO7.jpg,Kinley Glass Cap,1
IMG-MO9WS6UG-F0ZI.jpg,Coke Glass Caps,10
IMG-MO9WS6UG-F0ZI.jpg,Sprite Glass Cap,8
IMG-MO9WS6UG-F0ZI.jpg,Fanta Glass Cap,5
img_1768713954037_3365.jpg,Sprite Glass Cap,13
img_1768713954037_3365.jpg,Coke Glass Caps,6
