rowid,modelname,imagefilename,classid,classtext,value,inference,modelrun,processed_flag,storeid,storename,s3path_actual_file,s3path_annotated_file
26,gpt_activation,IMG-MNPXNG89-7IM5.jpg,1053,DPS,Y,0.85,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXNG89-7IM5.jpg,ModelResults/VisibleItem_273/IMG-MNPXNG89-7IM5.jpg
27,gpt_activation,IMG-MNPXNG89-7IM5.jpg,1019,Poster,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXNG89-7IM5.jpg,ModelResults/VisibleItem_273/IMG-MNPXNG89-7IM5.jpg
28,gpt_activation,IMG-MNPXNG89-7IM5.jpg,1063,Wobbler,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXNG89-7IM5.jpg,ModelResults/VisibleItem_273/IMG-MNPXNG89-7IM5.jpg
29,gpt_activation,IMG-MNPXNG89-7IM5.jpg,1027,Table Sticker,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXNG89-7IM5.jpg,ModelResults/VisibleItem_273/IMG-MNPXNG89-7IM5.jpg
30,gpt_activation,IMG-MNPXNG89-7IM5.jpg,1081,Ceiling Pillar Branding,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXNG89-7IM5.jpg,ModelResults/VisibleItem_273/IMG-MNPXNG89-7IM5.jpg
31,gpt_activation,IMG-MNPXN7IN-E04Q.jpg,1019,Poster,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXN7IN-E04Q.jpg,ModelResults/VisibleItem_273/IMG-MNPXN7IN-E04Q.jpg
32,gpt_activation,IMG-MNPXN7IN-E04Q.jpg,1053,DPS,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXN7IN-E04Q.jpg,ModelResults/VisibleItem_273/IMG-MNPXN7IN-E04Q.jpg
33,gpt_activation,IMG-MNPXN7IN-E04Q.jpg,1063,Wobbler,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXN7IN-E04Q.jpg,ModelResults/VisibleItem_273/IMG-MNPXN7IN-E04Q.jpg
34,gpt_activation,IMG-MNPXN7IN-E04Q.jpg,1027,Table Sticker,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXN7IN-E04Q.jpg,ModelResults/VisibleItem_273/IMG-MNPXN7IN-E04Q.jpg
35,gpt_activation,IMG-MNPXN7IN-E04Q.jpg,1081,Ceiling Pillar Branding,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXN7IN-E04Q.jpg,ModelResults/VisibleItem_273/IMG-MNPXN7IN-E04Q.jpg
36,gpt_activation,IMG-MNPXN6XL-6K0K.jpg,1087,MT Rack Display,Y,0.85,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXN6XL-6K0K.jpg,ModelResults/VisibleItem_273/IMG-MNPXN6XL-6K0K.jpg
37,gpt_activation,IMG-MNPXN6XL-6K0K.jpg,1019,Poster,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXN6XL-6K0K.jpg,ModelResults/VisibleItem_273/IMG-MNPXN6XL-6K0K.jpg
38,gpt_activation,IMG-MNPXN6XL-6K0K.jpg,1053,DPS,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXN6XL-6K0K.jpg,ModelResults/VisibleItem_273/IMG-MNPXN6XL-6K0K.jpg
39,gpt_activation,IMG-MNPXN6XL-6K0K.jpg,1063,Wobbler,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXN6XL-6K0K.jpg,ModelResults/VisibleItem_273/IMG-MNPXN6XL-6K0K.jpg
40,gpt_activation,IMG-MNPXN6XL-6K0K.jpg,1027,Table Sticker,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXN6XL-6K0K.jpg,ModelResults/VisibleItem_273/IMG-MNPXN6XL-6K0K.jpg
41,gpt_activation,IMG-MNPXN6XL-6K0K.jpg,1081,Ceiling Pillar Branding,N,1.0,2026-05-12 12:19:21.745509,N,2220111638,ABC AAHAR BAR & CAFE,april_store_images/IMG-MNPXN6XL-6K0K.jpg,ModelResults/VisibleItem_273/IMG-MNPXN6XL-6K0K.jpg
42,gpt_activation,IMG-MNOSZOZ8-I75V.jpg,1094,Wall Branding,Y,0.9,2026-05-12 12:19:42.475440,N,2260210137,NEW PYAKUREL STORES,april_store_images/IMG-MNOSZOZ8-I75V.jpg,ModelResults/VisibleItem_273/IMG-MNOSZOZ8-I75V.jpg
